Garhwali,RomanGarhwali,Hindi,English
तुमुन के ल्याणो छौ?,Tumun ke lyano chhau?,तुम्हें क्या लाना है?,What do you need to bring?
मैथै सब्ज़ी और फल चाही छन.,Maithai sabzi aur phal chahi chhan.,मुझे सब्ज़ी और फल चाहिए.,I need vegetables and fruits.
आज घर मा कुई मेहमान औंदू छन.,Aaj ghar ma kui mehman aundun chhan.,आज घर में मेहमान आ रहे हैं.,Some guests are coming home.
खाना बणौणू छौ.,Khana banaunu chhau.,खाना बनाना है.,Food has to be cooked.
मी मदद करला?,Mi madad karla?,क्या मैं मदद करूं?,Shall I help?
"हाँ, जरूर मदद करि द्या.","Haan, zaroor madad kari dya.","हाँ, ज़रूर मदद कर दो.","Yes, please help."
मी पाणी गरम करला.,Mi paani garam karla.,मैं पानी गर्म करूंगा.,I will heat water.
मी चाय बणैला.,Mi chai banaila.,मैं चाय बनाऊंगा.,I will make tea.
मैथै भूखणू लगणु छ.,Maithai bhookhnu laganu chha.,मुझे भूख लग रही है.,I am feeling hungry.
नाश्ता करला.,Naashta karla.,नाश्ता करेंगे.,Lets have breakfast.
क्या त्वेकुं कुई समस्या छौ?,Kya twekun kui samasya chhau?,क्या तुम्हें कोई समस्या है?,Do you have any problem?
"हाँ, मैथै एक समस्या छ.","Haan, Maithai ek samasya chha.","हाँ, मुझे एक समस्या है.","Yes, I have a problem."
"बतावा, के समस्या छौ?,Batawa, ke samasya chhau?,बताओ, क्या समस्या है?,Tell me, what is the problem?मी त्वेकुं बाद मा बताला.",Mi twekun baad ma batala.,मैं बाद में बताऊंगा.,I will tell you later.
यु काम जल्दी करला.,Yu kaam jaldi karla.,यह काम जल्दी करेंगे.,Lets do this work fast.
मी त्वेकुं विश्वास करदुं.,Mi twekun vishwas kardun.,मैं तुम पर विश्वास करता हूँ.,I trust you.
सही बात छ.,Sahi baat chha.,सही बात है.,Thats right.
गलत बात छ.,Galat baat chha.,गलत बात है.,Thats wrong.
मी यो नि कर सकदूं.,Mi yo ni kar sakdun.,मैं यह नहीं कर सकता.,I cannot do this.
मी कोशिश करला.,Mi koshish karla.,मैं कोशिश करूंगा.,I will try.
मी तेरु इंतजार करदुं.,Mi teru intezaar kardun.,मैं तुम्हारा इंतज़ार करूँगा.,I will wait for you.
कब तक इंतजार करला?,Kab tak intezaar karla?,कब तक इंतजार करेंगे?,How long will we wait?
थोड़ि देर और.,Thodi der aur.,थोड़ी देर और.,A little longer.
"मी थक्या छौं, आराम करला.","Mi thakya chhaun, aaram karla.","मैं थका हूँ, आराम करेंगे.","I am tired, lets rest."
मैथै नींद औंदी छ.,Maithai neend aundi chha.,मुझे नींद आ रही है.,I feel sleepy.
सोई जा.,Soi ja.,सो जाओ.,Go to sleep.
मैथै नींद नि औंदी.,Maithai neend ni aundi.,मुझे नींद नहीं आ रही है.,I am not sleepy.
कुछ सुणला.,Kuchh sunla.,कुछ सुनेंगे.,Lets listen to something.
गीत सुणला?,Geet sunla?,गीत सुनेंगे?,Shall we listen to a song?
"हाँ, मैथै गीत पसंद छन.","Haan, Maithai geet pasand chhan.","हाँ, मुझे गीत पसंद हैं.","Yes, I like songs."
मी अपणू काम खत्म करदू.,Mi apnu kaam khatam kardun.,मैं अपना काम खत्म कर दूँगा.,I will finish my work.
आज शनिवार छ.,Aaj shanivaar chha.,आज शनिवार है.,Today is Saturday.
भोल इतवार छ.,Bhol itwaar chha.,कल रविवार है.,Tomorrow is Sunday.
छुट्टी मा के करला?,Chhutti ma ke karla?,छुट्टी में क्या करेंगे?,What will we do?
घूमण जाला.,Ghooman jaala.,घूमने जाएंगे.,Lets go for a walk.
कुन जगह जाला?,Kun jagah jaala?,कहाँ जाएंगे?,Which place shall we go?
मैथै कुजाणी.,Maithai kujani.,मुझे नहीं पता.,I dont know.
तेरु मन कुन जगह जाणा छौ?,Teru man kun jagah jaana chhau?,तुम्हारा मन किस जगह जाने का है?,Where do you feel like going?
मैथै पहाड़ों मा जाणा चाणु छौं.,Maithai pahadon ma jaana chaanu chhaun.,मैं पहाड़ों में जाना चाहता हूँ.,I want to go to the mountains.
गाड़ी मा जाला?,Gaadi ma jaala?,गाड़ी में जाएंगे?,Go by car?
"हाँ, गाडी मा जाला.","Haan, gaadi ma jaala.","हाँ, गाड़ी में जाएंगे.","Yes, we will go by car."
मी अपणू घर का काम करणा छौं.,"Mi apnu ghar ka kaam karana chhaun., .,I am doing housework.",,
मी मदद करला?,Mi madad karla?,"क्या मैं मदद करूं?,Shall I help?",
"न, अब ठीक छ.","Na, ab theek chha.","नहीं, अब ठीक है.,No, its fine.",
तुम बड़ु मेहनती छौ.,Tum badu mehanati chhau.,तुम बहुत मेहनती हो.,You are very hardworking.
"धन्यवाद, तेरु भी धन्यवाद.,Dhanyawad, teru bhi dhanyawad.,धन्यवाद, तुम्हारा भी धन्यवाद.,Thanks, same to you.मी अब नहाणू जाणा छौं.,Mi ab nahanu jaana chhaun.,मैं नहाने जा रहा हूँ.,I am going to bathe.मी नाश्ता करणू छौं.,Mi naashta karanu chhaun.,मैं नाश्ता कर रहा हूँ.,I am having breakfast.मी तयार छौं.,Mi tayar chhaun.,मैं तैयार हूँ.,I am ready.चला",.,"Chala, ab jaala.",",   .,Lets go now."
आज का दिन शुभ होलु.,Aaj ka din shubh holu.,आज का दिन शुभ हो.,May today be a good day.
शुभकामनाएं.,Shubhkaamnayein.,शुभकामनाएं.,Best wishes.
यो खबर बड़ि खुशी की छ.,Yo khabar badi khushi ki chha.,यह खबर बहुत खुशी की है.,This is great news.
मी बड़ु प्रसन्न छौं.,Mi badu prasann chhaun.,मैं बहुत प्रसन्न हूँ.,I am very happy.
मैथै गर्व छ.,Maithai garv chha.,मुझे गर्व है.,I am proud.
तु आज कति जाग्या?,Tu aaj kati jagya?,तुम आज कितने बजे उठे?,What time did you wake up today?
मी सात बजे उठगयूं.,Mi saat baje utgayun.,मैं सात बजे उठा.,I woke up at seven.
नाश्ता कर लिया?,Nashta kar liya?,नाश्ता कर लिया?,Did you have breakfast?
"अभी नि, बस करुला.","Abhi ni, bas karula.","अभी नहीं, बस करने वाला हूँ.","Not yet, about to eat."
आज कख जाणू छौ?,Aaj kakh janu chhau?,आज कहाँ जाना है?,Where do you have to go today?
मी ऑफिस जाणु छौं.,Mi office janu chhaun.,मैं ऑफिस जा रहा हूँ.,Im going to the office.
ऑफिस मा काम कन छ?,Office ma kaam kan chha?,ऑफिस में काम कैसा है?,How is work at the office?
"थोड़ु दबाव छ, बाकी ठीक छ.","Thodu dabav chha, baaki theek chha.","थोड़ा दबाव है, बाकी ठीक है.","A bit stressful, rest is fine."
चहा पिण एला?,Chaha pin ela?,चाय पीने आओगे?,Will you come for tea?
"हां, समय मिल्यू त पियूँला.","Haan, samay milyu ta piyoonla.","हाँ, समय मिला तो पियूँगा.","Yes, if I get time."
आज सड़क मा भीड़ बसरि छ.,Aaj sadak ma bheed basri chha.,आज सड़क पर काफी भीड़ है.,There is a lot of traffic today.
ध्यान रखिक चल.,Dhyan rakhik chal.,ध्यान से चलना.,Walk carefully.
तेरि तबियत कन छ?,Teri tabiyat kan chha?,तुम्हारी तबीयत कैसी है?,How is your health?
आज थोड़ी थकान छ.,Aaj thodi thakaan chha.,आज थोड़ी थकान है.,A little tired today.
आराम करि ल्या.,Aaram kari lya.,आराम कर लेना.,Take some rest.
खा ल्यौ कि नि?,Kha lyo ki ni?,खाना खा लिया कि नहीं?,Did you eat or not?
अभी खैणू बाँकी छ.,Abhi khainu baanki chha.,अभी खाना बाकी है.,I still have to eat.
कुन खाणा बणाऊं?,Kun khana banaun?,क्या खाना बनाऊँ?,What should I cook?
साधारण दाल-भात ठीक छ.,Saadharan daal-bhaat theek chha.,साधारण दाल-चावल ठीक है.,Simple dal-rice is fine.
आज ट्रैफिक बड़ु छ.,Aaj traffic badu chha.,आज ट्रैफिक बहुत है.,There is heavy traffic today.
मी देर होलु.,Mi der holu.,मुझे देर होगी.,I will be late.
कुन खबर सुनी?,Kun khabar suni?,कोई खबर सुनी?,Heard any news?
यू नई खबर बड़ु चर्चि मा छ.,Yu nai khabar badu charchi ma chha.,यह नई खबर बहुत चर्चा में है.,This new news is trending.
मी आज साफ-सफाई करणु छौं.,Mi aaj saaf-safaai karanu chhaun.,मैं आज सफाई कर रहा हूँ.,Im cleaning today.
घौर बसरि बिखरि गयौ छ.,Ghaur basri bikhri gayo chha.,घर बहुत बिखरा हुआ है.,The house is very messy.
तेरी छुट्टी कभै छ?,Teri chutti kabai chha?,तुम्हारी छुट्टी कब है?,When is your holiday?
"इस हप्तु, रवि का दिन छ.","Is haptu, ravi ka din chha.","इस हफ्ते, रविवार को है.","This week, on Sunday."
आज पानी बसरि थंडु छ.,Aaj paani basri thandu chha.,आज पानी बहुत ठंडा है.,The water is very cold today.
बिजली बार-बार जांदी छ.,Bijli bar-bar jaandi chha.,बिजली बार-बार जा रही है.,Electricity is going off frequently.
मोबाइल चार्ज करि ल्या.,Mobile charge kari lya.,मोबाइल चार्ज कर लेना.,Charge your phone.
तेरु फोन कन चलदु?,Teru phone kan chaldu?,तुम्हारा फोन कैसा चल रहा है?,How is your phone working?
थोड़ु स्लो होगयौ छ.,Thodu slow hogayo chha.,थोड़ा स्लो हो गया है.,It has become slow.
अपडेट करि द्या.,Update kari dya.,अपडेट कर दो.,Update it.
कुन फिल्म देखूँ आज?,Kun film dekhu aaj?,आज कौन सी फिल्म देखूँ?,Which movie should I watch today?
कॉमेडी देखी ल्या.,Comedy dekhi lya.,कॉमेडी देख लेना.,Watch a comedy.
आज बसरि ठकान छ.,Aaj basri thakaan chha.,आज बहुत थकान है.,Feeling very tired today.
जल्दी सोई जा.,Jaldi soi ja.,जल्दी सो जाना.,Sleep early.
भोलु जल्दी उठणु छ.,Bholu jaldi uthanu chha.,कल जल्दी उठना है.,Need to wake up early tomorrow.
आज दगड़ी बात करिकै बड़ु भल लग्यो.,Aaj dagadi baat karikai badu bhal lagyo.,आज बात करके बहुत अच्छा लगा.,I enjoyed talking today.
फेरि मिलला.,Pheri milla.,फिर मिलेंगे.,See you again.
ध्यान राखला.,Dhyan rakhla.,अपना ध्यान रखना.,Take care.
आज मी बड़ु खुस छौं.,Aaj mi badu khus chhaun.,आज मैं बहुत खुश हूँ.,I am very happy today.
मी यो काम जरूर करला.,Mi yo kaam zaroor karla.,मैं यह काम ज़रूर करूंगा.,I will definitely do this work.
कब तक इंतज़ार करला?,Kab tak intezaar karla?,कब तक इंतज़ार करेंगे?,How long will we wait?
थोड़ि देर और इंतज़ार करला.,Thodi der aur intezaar karla.,थोड़ी देर और इंतज़ार करेंगे.,Lets wait a little longer.
मीकूं अब जाना पड़लू.,Mikun ab jaana padlu.,मुझे अब जाना पड़ेगा.,I have to go now.
ध्यान रखला अपणू.,Dhyan rakhla apnu.,अपना ध्यान रखना.,Take care of yourself.
मी तेरु ख्याल राखला.,Mi teru khyal rakhla.,मैं तुम्हारा ख्याल रखूंगा.,I will take care of you.
त्वेकुं के चाहिये छौ?,Twekun ke chahiye chhau?,तुम्हें क्या चाहिए?,What do you need?
मीकुं कुछ नि चाही.,Mikun kuchh ni chaahi.,मुझे कुछ नहीं चाहिए.,I dont need anything.
मीकुं पाणी चाही.,Mikun paani chaahi.,मुझे पानी चाहिए.,I need water.
मी यो किताब पढ़णू छौं.,Mi yo kitaab padhanu chhaun.,मैं यह किताब पढ़ रहा हूँ.,I am reading this book.
यो किताब बड़ु स्वाणू छ.,Yo kitaab badu swaanu chha.,यह किताब बहुत सुंदर है.,This book is very beautiful.
कथा कन छ?,Katha kan chha?,कहानी कैसी है?,How is the story?
कथा बड़ि दिलचस्प छ.,Katha badi dilchasp chha.,कहानी बहुत दिलचस्प है.,The story is very interesting.
मी दगड़ी मंदिर जाला?,Mi dagdi mandir jaala?,क्या मेरे साथ मंदिर चलोगे?,Will you go to the temple with me?
"हाँ, जरूर.","Haan, zaroor.","हाँ, ज़रूर.","Yes, definitely."
मी अब पूजा करला.,Mi ab puja karla.,मैं अब पूजा करूंगा.,I will do puja now.
भगवान तेरु भला करला.,Bhagwan teru bhala karla.,भगवान तुम्हारा भला करे.,May God bless you.
मेरु आशीर्वाद तेरु दगड़ी छ.,Meru aashirwad teru dagdi chha.,मेरा आशीर्वाद तुम्हारे साथ है.,My blessings are with you.
आज बड़ु स्वाणू दिन छ.,Aaj badu swaanu din chha.,आज बहुत सुंदर दिन है.,Today is a very beautiful day.
हम घुमण जाला.,Ham ghooman jaala.,हम घूमने जाएंगे.,Lets go for a walk.
पहाड़ों मा जाला?,Pahadon ma jaala?,पहाड़ों में जाएंगे?,Shall we go to the mountains?
मीकुं पहाड़ पसंद छन.,Mikun pahad pasand chhan.,मुझे पहाड़ पसंद हैं.,I like mountains.
मी तेरु बात सुणणू छौं.,Mi teru baat sunanu chhaun.,मैं तुम्हारी बात सुन रहा हूँ.,I am listening to you.
मी तेरु बात मानदू.,Mi teru baat maandu.,मैं तुम्हारी बात मानूंगा.,I will obey you.
यो काम कख करला?,Yo kaam kakh karla?,यह काम कहाँ करेंगे?,Where will we do this work?
ये काम घौर मा करला.,Ye kaam ghaur ma karla.,यह काम घर में करेंगे.,We will do this work at home.
मी अब खाणु बणैला.,Mi ab khaanu banaila.,मैं अब खाना बनाऊंगा.,I will make food now.
के बणैला?,Ke banaila?,क्या बनाओगे?,What will you make?
मी दाल-भात बणैला.,Mi daal-bhaat banaila.,मैं दाल-चावल बनाऊंगा.,I will make dal-rice.
"हाँ, सब्ज़ी काटि द्या.","Haan, sabzi kaati dya.","हाँ, सब्ज़ी काट दो.","Yes, cut the vegetables."
"धन्यवाद, तेरु बड़ु मेहरबानी.","Dhanyawad, teru badu meharbaani.","धन्यवाद, तुम्हारी बहुत मेहरबानी.","Thank you, very kind of you."
मी आज बड़ु खुस छौं.,Mi aaj badu khus chhaun.,मैं आज बहुत खुश हूँ.,I am very happy today.
मी तेरु दगड़ी बात करणू चाणु छौं.,Mi teru dagdi baat karanu chaanu chhaun.,मैं तुमसे बात करना चाहता हूँ.,I want to talk to you.
"ठीक छ, बोला.","Theek chha, bola.","ठीक है, बोलो.","Okay, speak."
मीकुं कुछ जरूरी बात करणू छ.,Mikun kuchh zaroori baat karanu chha.,मुझे कुछ ज़रूरी बात करनी है.,I have something important to discuss.
मी सुणणू छौं.,Mi sunanu chhaun.,मैं सुन रहा हूँ.,I am listening.
मी त्वेकुं परसु मिलला.,Mi twekun parsu milla.,मैं तुम्हें परसों मिलूंगा.,I will meet you the day after tomorrow.
परसु कतगा बज्या?,Parsu katga bajya?,परसों कितने बजे?,What time the day after tomorrow?
शाम का पांच बज्या.,Shaam ka paanch bajya.,शाम को पाँच बजे.,At five oclock in the evening.
"ठीक छ, मी ऐजाला.","Theek chha, mi aijaala.","ठीक है, मैं आ जाऊंगा.","Okay, I will come."
मी तेरु इंतजार करला.,Mi teru intezaar karla.,मैं तुम्हारा इंतजार करूंगा.,I will wait for you.
मेरु मन लागणू छ.,Meru man laganu chha.,मेरा मन लग रहा है.,I am enjoying myself.
मी बोर होणू छौं.,Mi bor honu chhaun.,मैं बोर हो रहा हूँ.,I am getting bored.
कुछ और करला.,Kuchh aur karla.,कुछ और करेंगे.,Lets do something else.
खेल खेलला.,Khel khella.,खेल खेलेंगे.,Lets play a game.
कन खेल?,Kan khel?,कौन सा खेल?,Which game?
लुका-छिपी.,Luka-chhipi.,लुका-छिपी.,Hide and seek.
"हाँ, मजा औलू.","Haan, maza aulu.","हाँ, मज़ा आएगा.","Yes, it will be fun."
यो बड़ु अच्छा सुझाव छ.,Yo badu achha sujhaav chha.,यह बहुत अच्छा सुझाव है.,This is a very good suggestion.
मी अब थोड़ु देर आराम करला.,Mi ab thodu der aaram karla.,मैं अब थोड़ी देर आराम करूंगा.,I will rest for a while now.
थोड़ि देर सोई जा.,Thodi der soi ja.,थोड़ी देर सो जाओ.,Sleep for a while.
मीकूं नींद नि औंदी.,Mikun neend ni aundi.,मुझे नींद नहीं आती.,I dont feel sleepy.
मी पाणी पिणू जाणा छौं.,Mi paani pinoo jaana chhaun.,मैं पानी पीने जा रहा हूँ.,I am going to drink water.
मी बाहिर जाणा छौं.,Mi baahir jaana chhaun.,मैं बाहर जा रहा हूँ.,I am going outside.
तेरु मन कुई और काम करणु छौ?,Teru man kui aur kaam karanu chhau?,क्या तुम्हें कोई और काम करना है?,Do you want to do any other work?
"न, अब मी फ्री छौं.","Na, ab mi free chhaun.","नहीं, अब मैं खाली हूँ.","No, I am free now."
हम सिनेमा जाला.,Ham cinema jaala.,हम सिनेमा जाएंगे.,We will go to the cinema.
आज कन फ़िल्म लगी छौ?,Aaj kan film lagi chhau?,आज कौन सी फ़िल्म लगी है?,Which movie is playing today?
तेरु पसंद की फ़िल्म देखला.,Teru pasand ki film dekhla.,तुम्हारी पसंद की फ़िल्म देखेंगे.,We will watch a movie of your choice.
मीकुं एक्शन फ़िल्म पसंद छन.,Mikun action film pasand chhan.,मुझे एक्शन फ़िल्में पसंद हैं.,I like action movies.
आज बड़ु ठंडु हवा चलणू छ.,Aaj badu thandu hawa chalanu chha.,आज बहुत ठंडी हवा चल रही है.,A very cold wind is blowing today.
मी घर जाणा छौं.,Mi ghar jaana chhaun.,मैं घर जा रहा हूँ.,I am going home.
मीकूं सर्दी लगणू छ.,Mikun sardi laganu chha.,मुझे सर्दी लग रही है.,I am feeling cold.
चाय पिऊला.,Chay piyoola.,चाय पिएंगे.,Lets drink tea.
मी गरमा-गरम चाय बणैला.,Mi garma-garam chay banaila.,मैं गरमा-गरम चाय बनाऊंगा.,I will make hot tea.
तेरु दिन मंगलमय हो.,Teru din mangalmay ho.,तुम्हारा दिन मंगलमय हो.,May your day be auspicious.
"धन्यवाद, तेरु भी.","Dhanyawad, teru bhi.","धन्यवाद, तुम्हारा भी.","Thank you, you too."
मी अब अपणू काम करला.,Mi ab apnu kaam karla.,मैं अब अपना काम करूंगा.,I will do my work now.
मी जल्दी मिलला.,Mi jaldi milla.,मैं जल्दी मिलूंगा.,I will meet soon.
"ठीक छ, बाय.","Theek chha, bye.","ठीक है, बाय.","Okay, bye."
यो काम बड़ु मुश्किल छ.,Yo kaam badu mushkil chha.,यह काम बहुत मुश्किल है.,This work is very difficult.
मी त्वेकुं भरोसा करदुं.,Mi twekun bharosa kardun.,मैं तुम पर भरोसा करता हूँ.,I trust you.
तेरु विश्वास नि तोड़ला.,Teru vishwas ni todla.,तुम्हारा विश्वास नहीं तोडूंगा.,I will not break your trust.
यू काम कैसन होलु?,Yu kaam kaisan holu?,यह काम कैसे होगा?,How will this work be done?
हम सब दगड़ी मिलिक करला.,Ham sab dagdi milik karla.,हम सब मिलकर करेंगे.,We will all do it together.
मी तेरु इंतजार करदुं.,Mi teru intezaar kardun.,मैं तुम्हारा इंतजार करूंगा.,I will wait for you.
मी अब जाणा छौं.,Mi ab jaana chhaun.,मैं अब जा रहा हूँ.,I am leaving now.
मीकुं देर होणू छ.,Mikun der honu chha.,मुझे देर हो रही है.,I am getting late.
जल्दी औला.,Jaldi aula.,जल्दी आना.,Come quickly.
मी अब ठीक छौं.,Mi ab theek chhaun.,मैं अब ठीक हूँ.,I am fine now.
यो काम पूरा व्हेगी.,Yo kaam pura whegi.,यह काम पूरा हो गया है.,This work is completed.
बड़ि खुशी की बात छ.,Badi khushi ki baat chha.,बहुत खुशी की बात है.,Its a matter of great happiness.
मी आराम करला.,Mi aaram karla.,मैं आराम करूंगा.,I will rest.
मी पाणी पीणा जाणा छौं.,Mi paani peena jaana chhaun.,मैं पानी पीने जा रहा हूँ.,I am going to drink water.
मी खाणा खाणा छौं.,Mi khaana khaana chhaun.,मैं खाना खा रहा हूँ.,I am eating food.
मी तेरु दगड़ी छौं.,Mi teru dagdi chhaun.,मैं तुम्हारे साथ हूँ.,I am with you.
आज मी बड़ु ठण्डु महसूस करणु छौं.,Aaj mi badu thandu mahsus karanu chhaun.,आज मैं बहुत ठंडा महसूस कर रहा हूँ.,I am feeling very cold today.
अंगीठी जला द्या.,Angithi jala dya.,अंगीठी जला दो.,Light the fireplace.
आज काम बड़ु कम छ.,Aaj kaam badu kam chha.,आज काम बहुत कम है.,There is very little work today.
हम जल्दी घर जाला.,Ham jaldi ghar jaala.,हम जल्दी घर जाएंगे.,We will go home early.
मी त्वेकुं कुछ पुछणू चाणु छौं.,Mi twekun kuchh puchhanu chaanu chhaun.,मैं तुमसे कुछ पूछना चाहता हूँ.,I want to ask you something.
"पूछा, के पुछणू छौ?","Puchha, ke puchhanu chhau?","पूछो, क्या पूछना है?","Ask, what do you want to ask?"
मी यो बात नि समझणू छौं.,Mi yo baat ni samjhanu chhaun.,मैं यह बात नहीं समझ रहा हूँ.,I am not understanding this.
मी त्वेकुं समझैला.,Mi twekun samjhaila.,मैं तुम्हें समझाऊंगा.,I will explain to you.
"धन्यवाद, मेहरबानी.","Dhanyawad, meharbaani.","धन्यवाद, मेहरबानी.","Thank you, kindly."
आज रात मा तारे बड़ु स्वाणू देखणा छन.,Aaj raat ma taare badu swaanu dekhana chhan.,आज रात में तारे बहुत सुंदर दिख रहे हैं.,The stars look very beautiful tonight.
मौसम साफ छ.,Mausam saaf chha.,मौसम साफ है.,The weather is clear.
कल बारिश होली.,Kal barish holi.,कल बारिश होगी.,It will rain tomorrow.
मी छाता लै ल्याला.,Mi chhaata lai lyala.,मैं छाता ले लूंगा.,I will take an umbrella.
मी अब खेत मा जाणा छौं.,Mi ab khet ma jaana chhaun.,मैं अब खेत में जा रहा हूँ.,I am going to the field now.
के काम छौ खेत मा?,Ke kaam chhau khet ma?,खेत में क्या काम है?,What work is there in the field?
मी बीज बोणा छौं.,Mi beej bona chhaun.,मैं बीज बो रहा हूँ.,I am sowing seeds.
भगवान हमारो मदत करला.,Bhagwan hamaaro madad karla.,भगवान हमारी मदद करेंगे.,God will help us.
हम सब ठीक करला.,Ham sab theek karla.,हम सब ठीक कर लेंगे.,We will manage everything.
आज बड़ु धैण छ.,Aaj badu dhain chha.,आज बहुत गर्मी है.,Its very hot today.
"पाणी पिऊला, बड़ु प्यास लगी छ.","Paani piyoola, badu pyaas lagi chha.","पानी पिएंगे, बहुत प्यास लगी है.","Lets drink water, I am very thirsty."
मी अब आराम करला.,Mi ab aaram karla.,मैं अब आराम करूंगा.,I will rest now.
मी अब बाहिर जाणा छौं.,Mi ab baahir jaana chhaun.,मैं अब बाहर जा रहा हूँ.,I am going outside now.
के काम छौ बाहिर?,Ke kaam chhau baahir?,बाहर क्या काम है?,What work is there outside?
मी बाजार जाणा छौं.,Mi bazaar jaana chhaun.,मैं बाजार जा रहा हूँ.,I am going to the market.
मीकुं कुछ सामान ल्याणो छ.,Mikun kuchh saamaan lyano chha.,मुझे कुछ सामान लाना है.,I have to bring some items.
के सामान चाही छौ?,Ke saamaan chaahi chhau?,कौन सा सामान चाहिए?,What items do you need?
सब्ज़ी और फल.,Sabzi aur phal.,सब्ज़ी और फल.,Vegetables and fruits.
ये सामान कतगा रुप्याँ को छ?,Ye saamaan katga rupyan ko chha?,यह सामान कितने रुपये का है?,How much is this stuff?
ये सौ रुप्याँ को छ.,Ye sau rupyan ko chha.,यह सौ रुपये का है.,This is for one hundred rupees.
यू बड़ु महंगा छ.,Yu badu mehanga chha.,यह बहुत महंगा है.,This is very expensive.
थोड़ु कम करला?,Thodu kam karla?,क्या इसे थोड़ा कम कर सकते हो?,Can you reduce the price a bit?
"न, यू फिक्स रेट छ.","Na, yu fix rate chha.","नहीं, यह फिक्स रेट है.","No, this is a fixed rate."
"धन्यवाद, फेरि मिलला.","Dhanyawad, pheri milla.","धन्यवाद, फिर मिलेंगे.","Thank you, see you again."
मी अपणू घौर जाणा छौं.,Mi apnu ghaur jaana chhaun.,मैं अपने घर जा रहा हूँ.,I am going to my house.
जल्दी चलला.,Jaldi challa.,जल्दी चलेंगे.,Lets go quickly.
मी अब तयार छौं.,Mi ab tayar chhaun.,मैं अब तैयार हूँ.,I am ready now.
आज का दिन शुभ होलु.,Aaj ka din shubh holu.,आज का दिन शुभ हो.,May today be an auspicious day.
यो खबर बड़ि दुखद छ.,Yo khabar badi dukhad chha.,यह खबर बहुत दुखद है.,This news is very sad.
मी बड़ु उदास छौं.,Mi badu udaas chhaun.,मैं बहुत उदास हूँ.,I am very sad.
मी त्वेकुं सांत्वना देणा छौं.,Mi twekun saantvana dena chhaun.,मैं तुम्हें सांत्वना दे रहा हूँ.,I am consoling you.
हिम्मत रखला.,Himmat rakhla.,हिम्मत रखना.,Be brave.
आज मी बड़ु आलसी लगणु छौं.,Aaj mi badu aalsi laganu chhaun.,आज मैं बहुत आलसी महसूस कर रहा हूँ.,I am feeling very lazy today.
अलगस दूर करला.,Algas door karla.,आलस दूर करेंगे.,Lets get rid of laziness.
कुछ काम करला.,Kuchh kaam karla.,कुछ काम करेंगे.,Lets do some work.
मी अब पाणी भरण जाणा छौं.,Mi ab paani bharan jaana chhaun.,मैं अब पानी भरने जा रहा हूँ.,I am going to fill water now.
नल मा पाणी नि औंदू छ.,Nal ma paani ni aundun chha.,नल में पानी नहीं आ रहा है.,Water is not coming in the tap.
बाल्टि मा पाणी भरि ल्या.,Baalti ma paani bhari lya.,बाल्टी में पानी भर लो.,Fill water in the bucket.
मी अपणू कपड़ा धोणा छौं.,Mi apnu kapda dhona chhaun.,मैं अपने कपड़े धो रहा हूँ.,I am washing my clothes.
सूर्य मा सुखा द्या.,Surya ma sukha dya.,धूप में सुखा दो.,Dry them in the sun.
मीकूं अब पढ़ना छ.,Mikun ab padhna chha.,मुझे अब पढ़ना है.,I have to study now.
परीक्षा न्यार छ.,Pariksha nyar chha.,परीक्षा नज़दीक है.,The exam is near.
मी मेहनत करला.,Mi mehnat karla.,मैं मेहनत करूंगा.,I will work hard.
मी पास होलु.,Mi paas holu.,मैं पास हो जाऊंगा.,I will pass.
भगवान तेरु मदत करला.,Bhagwan teru madad karla.,भगवान तुम्हारी मदद करेंगे.,God will help you.
मी तेरु दगड़ी प्रार्थना करला.,Mi teru dagdi prarthana karla.,मैं तुम्हारे साथ प्रार्थना करूंगा.,I will pray with you.
मी अब स्कूल जाणा छौं.,Mi ab school jaana chhaun.,मैं अब स्कूल जा रहा हूँ.,I am going to school now.
मीकूं देर होणू छ.,Mikun der honu chha.,मुझे देर हो रही है.,I am getting late.
टीचर डांटला.,Teacher daantla.,टीचर डांटेंगे.,The teacher will scold.
मी अब क्लास मा बैठणू छौं.,Mi ab class ma baithanu chhaun.,मैं अब क्लास में बैठ रहा हूँ.,I am sitting in the class now.
ध्यान से सुनला.,Dhyan se sunla.,ध्यान से सुनेंगे.,Lets listen carefully.
के पढ़ाई होणू छ?,Ke padhai honu chha?,क्या पढ़ाई हो रही है?,What is being taught?
आज नया पाठ शुरू होलू.,Aaj naya paath shuru holu.,आज नया पाठ शुरू होगा.,A new lesson will start today.
मी यो पाठ समझणू छौं.,Mi yo paath samjhanu chhaun.,मैं यह पाठ समझ रहा हूँ.,I am understanding this lesson.
मी यो पाठ नि समझणू छौं.,Mi yo paath ni samjhanu chhaun.,मैं यह पाठ नहीं समझ रहा हूँ.,I am not understanding this lesson.
मी फेरि पढ़ला.,Mi pheri padhla.,मैं फिर से पढूंगा.,I will read again.
मी होमवर्क करला.,Mi homework karla.,मैं होमवर्क करूंगा.,I will do homework.
मी अब खेलण जाणा छौं.,Mi ab khelan jaana chhaun.,मैं अब खेलने जा रहा हूँ.,I am going to play now.
कन खेल खेलला?,Kan khel khella?,कौन सा खेल खेलेंगे?,Which game shall we play?
मी क्रिकेट खेलला.,Mi cricket khella.,मैं क्रिकेट खेलूंगा.,I will play cricket.
मी फुटबॉल खेलला.,Mi football khella.,मैं फुटबॉल खेलूंगा.,I will play football.
